"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 22:52:17 BRT 2022","Fri Nov 25 22:52:28 BRT 2022","10828","","test_carwalle","Test_Carwale","","","test_print_car_names[chrome-Hyundai-Hyundai Cars]",""
"passed","Fri Nov 25 22:52:37 BRT 2022","Fri Nov 25 22:52:48 BRT 2022","11104","","test_carwalle","Test_Carwale","","","test_print_car_names[edge-BMW-BMW Cars]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_select_cars[edge-BMW-BMW Cars]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_select_cars[chrome-Hyundai-Hyundai Cars]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_go_to_new_car[chrome]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_go_to_new_car[edge]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_select_cars[chrome-BMW-BMW Cars]",""
"passed","Fri Nov 25 22:52:57 BRT 2022","Fri Nov 25 22:53:08 BRT 2022","10902","","test_carwalle","Test_Carwale","","","test_print_car_names[edge-Hyundai-Hyundai Cars]",""
"passed","Fri Nov 25 22:51:57 BRT 2022","Fri Nov 25 22:52:06 BRT 2022","8222","","test_carwalle","Test_Carwale","","","test_print_car_names[chrome-BMW-BMW Cars]",""
"skipped","Fri Nov 25 22:51:48 BRT 2022","Fri Nov 25 22:51:48 BRT 2022","0","","test_carwalle","Test_Carwale","","","test_select_cars[edge-Hyundai-Hyundai Cars]",""
